[H[2J[3JHỆ THỐNG NHÀ KÍNH MINI - MINIATURE GREENHOUSE

 Vui lòng chọn chế độ khởi động:
   [1] Chế độ Thực tế (Đọc cảm biến tự động)
   [2] Chế độ Giả lập (Test phần cứng)
Nhập lựa chọn của bạn (1 hoặc 2): 
--- CẤU HÌNH THỜI GIAN ---
   [0] Thời gian thực tế
   [1] Giả lập Ban ngày (10h sáng)
   [2] Giả lập Ban đêm (20h tối)
Chọn thời gian (0/1/2): /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
  warnings.warn(PWMSoftwareFallback(
=> [Thực tế] Đang sử dụng giờ hệ thống...

Đang khởi tạo hệ thống cảm biến...
Hiển thị màn hình chào mừng...
Hệ thống bắt đầu giám sát môi trường tự động!

[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[CLOUDY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.45 | Mái: OPEN
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.77 | Mái: CLOSE
[R_DAY] Nhiệt: 24.8°C | Ẩm: 95% | Sáng: 0.85 | Mái: CLOSE
[R_DAY] Nhiệt: 25.0°C | Ẩm: 95% | Sáng: 0.85 | Mái: CLOSE
[R_DAY] Nhiệt: 25.1°C | Ẩm: 95% | Sáng: 0.85 | Mái: CLOSE
[R_DAY] Nhiệt: 24.9°C | Ẩm: 95% | Sáng: 0.85 | Mái: CLOSE
[R_DAY] Nhiệt: 25.1°C | Ẩm: 95% | Sáng: 0.85 | Mái: CLOSE
[R_DAY] Nhiệt: 25.2°C | Ẩm: 94% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 25.0°C | Ẩm: 89% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 25.1°C | Ẩm: 84% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 25.0°C | Ẩm: 81% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 25.0°C | Ẩm: 80% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.9°C | Ẩm: 79% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 77% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 76% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.9°C | Ẩm: 75% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 74% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 74% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 73% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 73% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 72% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 72% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 71% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 71% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 70% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 70% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 69% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 69% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 68% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 68% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 67% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 67% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 67% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 67% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 67% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 66% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.83 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.8°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.82 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.83 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.83 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[CLOUDY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.46 | Mái: OPEN
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.83 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.83 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.5°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.86 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.6°C | Ẩm: 65% | Sáng: 0.84 | Mái: CLOSE
[SUNNY] Nhiệt: 24.7°C | Ẩm: 65% | Sáng: 0.85 | Mái: CLOSE
